"number","area_mm2","perimeter_mm","majellipse_mm","minellipse_mm","grain  ch1","grain  ch2","grain  ch3"
1,4847.04,328.676,96.08,67.5946,200.92,201.082,201.027
2,1019.37,133.011,40.8369,32.2867,205.439,205.572,205.378
3,782.522,131.657,44.5751,22.7492,204.776,204.769,203.997
4,1001.84,130.048,41.8931,30.9942,202.374,202.429,202.034
5,89.7059,73.9987,39.039,2.99204,200.446,200.449,199.855
6,1925.22,206.925,58.4269,43.2558,198.884,199.092,198.504
7,446.322,94.1493,33.9822,17.0959,198.376,199.125,198.165
8,1435,162.475,45.4799,40.9519,193.762,195.056,194.202
9,4213.73,315.045,89.8318,63.0025,178.577,178.916,178.067
10,323.627,89.7467,22.9732,18.2794,198.498,199.854,197.046
11,221.828,73.2367,17.9294,16.2765,194.064,195.692,194.647
12,273.433,85.5133,24.0628,15.1838,191.885,193.145,192.492
13,274.014,86.7833,23.1528,15.2842,205.195,205.246,204.478
14,157.634,64.0927,16.3645,12.9914,205.432,205.644,205.348
15,183.096,70.7813,16.6672,14.4019,202.645,203.008,201.785
16,209.405,73.0673,19.8293,13.8818,197.845,199.431,196.674
17,208.014,74.3373,20.7439,13.6428,201.585,202.341,201.038
18,1.79928,7.19667,1.71815,1.40698,149.089,132.304,89.1964
19,214.057,70.5273,18.6424,15.0576,198.143,199.657,196.822
20,9.87812,18.7113,6.98676,1.8451,197.897,198.943,196.42
21,126.86,51.9853,14.32,11.5273,196.858,198.18,195.427
22,546.529,119.38,28.9514,24.5994,203.408,203.848,203.425
23,110.552,52.9167,15.651,9.40348,200.763,201.228,198.843
24,137.276,64.0927,18.0511,10.2378,199.44,200.545,197.909
25,112.2,50.292,18.5789,7.82508,200.857,201.26,198.639
26,380.386,104.987,25.3245,19.5634,194.27,194.998,193.519
27,236.422,83.058,21.2738,14.6591,199.907,200.889,197.488
28,146.208,63.3307,17.3188,10.986,196.949,198.529,195.463
29,353.268,94.488,22.7199,20.2555,201.654,201.98,199.832
30,213.627,80.3487,22.4875,12.596,190.796,192.188,190.964
31,242.96,79.3327,23.07,13.9601,187.02,187.777,186.541
32,104.932,52.9167,14.6275,9.69384,181.445,182.14,179.919
33,268.745,79.4173,19.1824,18.138,194.155,195.349,192.752
34,447.748,105.241,25.7386,22.8268,198.693,198.751,198.64
35,181.691,69.85,19.0813,12.4431,197.351,199.168,195.783
36,424.221,103.124,27.9354,20.357,194.996,195.092,195.004
37,143.197,59.0973,16.0474,11.7866,179.296,179.623,177.676
38,70.0285,43.2647,9.8984,9.42267,191.476,192.422,190.053
39,124.874,56.2187,19.2741,8.50549,179.473,179.594,177.257
40,132.48,61.5527,16.9788,10.2521,202.836,203.106,202.118
41,97.6629,47.6673,12.4716,10.2216,199.876,200.859,197.13
42,117.046,54.6947,17.1406,8.90191,199.177,200.551,197.164
43,69.0106,41.148,9.93457,9.26242,201.997,203.508,200.532
44,497.024,115.57,30.2358,21.5771,202.198,203.813,202.598
45,200.372,67.2253,21.2149,12.2106,195.173,197.007,193.593
46,71.0895,42.418,10.6204,8.93514,198.763,200.417,196.324
47,176.695,71.12,18.563,12.4087,198.737,200.553,197.156
48,88.222,47.244,12.6728,9.3568,193.838,195.384,192.145
49,58.9676,36.9147,10.0324,7.71581,200.759,201.788,197.231
50,491.598,109.897,29.1525,21.811,188.148,190.044,187.764
51,411.074,89.916,24.9336,21.2637,186.488,188.113,185.962
52,100.416,53.7633,15.0859,8.81094,191.559,193.308,191.708
53,557.476,123.19,29.1489,25.1167,200.478,201.775,200.967
54,141.756,60.5367,16.0933,11.4704,201.622,202.635,199.823
55,1.84229,12.0227,2.32096,1.23938,129,113.5,71.75
56,339.089,91.948,24.8761,17.6566,190.706,192.442,190.197
57,371.763,104.648,23.9067,20.3618,200.227,201.961,198.656
58,168.165,70.1887,15.7889,13.9889,198.272,200.233,197.069
59,109.204,51.6467,14.2957,10.0418,181.456,182.027,180.004
60,320.114,75.0993,22.1288,18.7536,167.068,168.371,166.385
61,209.448,72.39,19.7488,14.1009,202.247,204.113,201.528
62,205.742,66.548,17.4131,15.2375,173.962,175.262,172.823
63,62.1648,36.6607,9.83939,8.2246,198.961,200.747,197.461
64,743.776,121.073,45.1059,21.3735,186.732,188.323,187.538
65,91.5267,43.7727,12.7183,9.37524,191.961,193.739,190.556
66,91.1181,48.9373,13.8887,8.65091,179.897,180.386,177.975
67,220.759,83.566,22.0755,13.7268,192.171,195.057,191.566
68,104.717,49.4453,13.146,10.3698,199.176,201.218,198.131
69,261.039,86.614,24.1847,14.5735,195.464,195.628,195.483
70,497.827,112.607,31.0016,21.4486,191.449,193.048,192.199
71,358.365,90.678,23.769,19.4045,192.319,196.674,192.669
72,172.896,62.992,22.0689,10.2021,203.216,205.012,203.704
73,154.631,65.1933,14.9256,14.2305,201.195,202.924,200.533
74,147.01,63.8387,18.5802,10.7014,189.533,193.947,189.777
75,177.118,67.056,19.6255,12.1199,199.193,200.784,199.972
76,373.978,86.1907,22.8952,20.9605,187.865,192.129,188.314
77,144.616,62.3993,15.7576,12.1258,183.322,185.074,182.405
78,411.476,98.7213,26.028,20.2858,201.923,205.036,201.714
79,124.846,52.832,16.2469,9.95586,197.959,200.285,196.788
80,147.648,62.484,17.6133,10.9068,186.963,188.897,186.356
81,99.1539,47.9213,14.4174,9.07405,186.326,188.267,185.25
82,383.54,103.378,27.1191,18.2332,183.287,185.253,183.179
83,223.756,70.6967,20.1764,14.3143,180.941,182.401,180.266
84,167.455,65.7013,16.523,13.5517,202.448,204.315,201.209
85,222.064,73.5753,21.5712,13.3546,199.967,203.079,199.743
86,103.713,54.102,15.7796,8.67604,176.378,177.828,175.491
87,702.916,126.069,32.1281,28.5297,166.898,168.85,167.41
88,10.6308,18.1187,6.40068,2.15016,185.872,187.872,184.894
89,150.917,62.9073,15.9551,12.6694,185.412,189.25,185.595
90,342.895,96.4353,22.4199,19.6499,204.596,206.642,204.288
91,1.54122,9.56733,1.71496,1.42811,143.5,127.5,76
92,121.355,52.4933,17.0302,9.37676,195.909,200.02,196.592
93,227.154,70.358,21.7489,13.5829,182.44,184.614,181.469
94,688.809,117.941,30.917,28.7133,200.782,202.691,201.542
95,120.638,56.5573,15.6836,10.0453,203.62,205.454,204.181
96,143.34,59.944,18.4686,10.1148,186.619,190.721,187.058
97,142.623,62.484,18.2542,10.3335,176.575,178.18,176.487
98,386.107,105.325,23.7321,21.1245,179.092,180.947,179.669
99,155.942,65.4473,16.3238,12.9764,181.922,183.908,181.138
100,471.139,106.511,27.2925,22.3589,181.719,185.742,183.748
101,24.5448,25.654,11.034,2.90117,188.758,192.81,188.437
102,94.8314,48.4293,13.502,9.27638,173.034,174.906,172.978
103,109.304,54.5253,15.1095,9.72183,193.981,197.935,195.112
104,109.591,50.4613,14.1588,10.0826,204.869,206.918,203.715
105,104.136,48.9373,15.2292,9.07135,205.884,207.98,204.938
106,273.34,89.3233,23.1685,15.3438,195.824,199.996,197.623
107,539.583,108.035,29.0129,24.4065,193.187,195.168,194.173
108,282.716,74.676,20.5734,17.6998,186.402,190.639,186.833
109,196.63,65.8707,17.8132,14.3553,192.691,196.454,193.518
110,207.483,75.6073,21.9057,12.6662,204.902,207.069,205.867
111,178.286,69.85,17.2205,13.637,189.919,193.739,191.904
112,324.981,88.646,22.4083,18.8474,197.36,201.661,197.926
113,392.379,86.1907,25.021,20.4008,184.784,186.77,185.747
114,110.315,51.562,13.1779,10.8794,169.558,170.979,169.21
115,7898.38,425.619,141.93,73.063,157.254,160.561,159.525
116,146.645,59.5207,16.767,11.3305,200.815,203.315,199.974
117,648.443,126.577,34.4617,24.3004,178.37,180.784,177.781
118,135.097,60.198,16.3079,11.0537,176.625,178.461,176.867
119,140.466,61.2987,16.3056,11.1373,202.325,204.303,201.217
120,212.888,80.4333,17.2537,16.1395,171.85,173.688,172.367
121,439.433,98.3827,25.0519,22.7451,202.95,205.603,204.051
122,335.225,91.948,23.4037,18.4253,192.381,196.182,194.458
123,133.405,56.896,16.6914,10.4852,188.864,192.575,191.123
124,92.222,47.6673,13.4935,8.98699,185.19,188.357,184.654
125,107.025,51.1387,12.798,11.0392,186.887,189.882,187.783
126,106.193,49.9533,13.6531,10.2617,203.891,206.613,204.558
127,171.283,65.3627,16.9934,13.1761,189.987,193.858,192.746
128,472.092,118.195,28.6342,21.9717,202.191,204.096,202.743
129,84.9102,44.0267,13.3261,8.2847,195.567,199.915,196.155
130,85.8708,50.6307,12.6667,9.49993,177.8,181.655,179.477
131,69.4694,48.6833,11.2703,8.41445,180.688,184.709,181.527
132,47.7562,35.3907,9.70087,6.5629,201.527,204.106,200.822
133,1.62007,7.874,1.57955,1.43768,127.545,114.545,80.5455
134,363.627,99.3987,22.6403,20.5975,173.092,174.936,173.603
135,390.544,104.14,30.3302,17.0553,193.974,195.942,194.811
136,123.62,59.182,14.7954,11.431,176.365,178.861,175.707
137,730.629,144.103,34.8941,27.2352,196.516,200.457,198.126
138,58.4157,37.6767,13.4253,5.72099,194.377,198.949,195.842
139,518.537,112.776,31.4742,21.7032,198.579,200.541,199.431
140,135.089,56.4727,14.9966,11.6523,180.539,184.413,182.585
141,127.448,57.9967,17.0942,9.6584,200.353,202.981,200.429
142,139.419,58.5893,16.3164,11.0396,187.229,191.099,189.565
143,147.892,62.3147,14.3346,13.7199,177.006,179.927,176.821
144,55.5196,38.1847,10.9305,6.82708,183.187,187.055,185.121
145,57.111,38.9467,11.1172,6.85297,185.283,188.937,187.029
146,206.014,66.9713,17.4937,15.1251,201.98,204.327,201.096
147,341.44,81.8727,22.3713,19.9273,186.968,188.908,188.136
148,112.287,57.15,12.9054,11.5232,193.462,197.283,195.396
149,2.24372,8.89,2.26738,1.35012,135.917,122.726,80.6786
150,549.77,126.153,30.6418,23.4748,172.026,173.835,171.372
151,380.695,100.753,29.7693,16.4814,198.855,202.193,200.555
152,626.415,138.853,36.0004,22.8977,189.63,193.541,191.595
153,108.882,52.2393,16.5454,8.5726,176.179,177.914,174.915
154,82.8529,46.99,14.0197,7.68488,180.209,184.069,182.147
155,300.164,85.6827,23.7261,16.4831,174.924,178.169,176.509
156,108.652,53.086,15.4321,9.42782,187.098,191.251,189.365
157,192.014,70.9507,19.1223,13.4389,199.178,202.08,200.915
158,162.473,62.23,16.7677,12.5057,177.011,180.981,178.203
159,113.62,56.5573,18.0299,8.60379,182.51,186.52,185.023
160,75.7418,48.006,11.7532,8.50192,196.364,199.903,196.542
161,108.387,53.7633,13.6957,10.4845,198.576,201.727,198.378
162,2.02867,12.2767,2.40191,1.34747,127.9,114.9,80.2
163,122.523,55.7953,16.7353,9.50136,173.55,175.193,171.838
164,89.9568,47.3287,13.446,8.69563,173.859,175.73,172.672
165,873.532,126.407,39.566,28.6516,186.08,188.003,187.612
166,3405.76,282.363,99.1546,44.4951,161.381,165.047,163.721
167,199.734,85.1747,17.3065,15.9194,197.487,200.244,198.802
168,28.0358,53.6787,15.5016,2.53831,195.682,198.797,194.838
169,46.6737,32.8507,7.9738,7.67022,191.338,194.799,190.462
170,322.2,96.52,22.7501,18.4434,195.763,199.685,197.728
171,360.365,94.234,28.5655,16.7766,197.208,199.131,198.007
172,126.717,57.2347,16.5226,10.0497,191.592,195.852,191.701
173,182.881,66.6327,18.192,13.2913,180.438,184.275,182.706
174,277.827,77.47,21.4162,16.723,171.332,174.736,171.836
175,136.365,53.7633,16.6535,10.7871,184.644,188.589,187.275
176,276.86,87.5453,20.7105,17.4374,191.362,196.082,191.987
177,90.1073,45.8893,12.7606,9.14158,196.674,199.193,195.774
178,545.296,115.909,31.3754,23.0766,191.174,193.152,191.976
179,73.4335,41.5713,12.2293,7.89311,170.647,172.474,169.28
180,162.803,57.7427,16.8131,12.5694,173.909,177.482,173.876
181,112.652,54.864,14.4753,10.2292,178.888,182.332,178.78
182,168.874,70.6967,26.6453,8.37508,193.219,196.848,194.728
183,334.723,94.5727,25.1978,17.2923,187.848,192.376,188.711
184,240.774,77.978,18.9518,16.7347,195.009,198.699,197.546
185,227.856,74.168,19.4189,15.5083,194.135,197.738,195.798
186,250.207,78.8247,21.4716,15.4134,194.633,198.166,196.922
187,500.243,112.268,26.629,24.8794,191.387,195.467,193.557
188,5237.52,334.264,84.4989,81.1307,169.95,173.971,172.79
189,203.656,69.7653,20.8511,12.7585,191.977,195.486,194.298
190,230.487,76.3693,18.8603,16.0237,187.586,192.31,188.618
191,2101.16,200.745,68.0705,39.9362,186.526,190.402,189.36
192,2.5448,7.874,2.49918,1.35274,136.534,118.534,68.0517
193,1218.7,160.189,66.9951,23.6554,173.238,175.987,176.371
194,1495.1,168.148,65.0827,29.8199,175.682,179.446,179.166
195,1290.24,158.496,63.3937,26.4547,181.295,185.283,184.358
196,1168.27,154.009,57.2283,26.5991,178.443,182.053,180.743
197,1381.88,157.988,56.8964,31.4611,184.198,188.109,187.045
