"number","area_mm2","perimeter_mm","majellipse_mm","minellipse_mm","grain  ch1","grain  ch2","grain  ch3"
1,1402.99,164.169,55.0662,33.1886,201.425,201.19,200.697
2,1025.14,139.531,37.6958,35.2225,202.202,202.161,200.304
3,681.748,107.781,31.7009,27.809,201.793,201.775,199.954
4,743.984,112.099,32.9662,29.2195,203.014,202.983,201.153
5,856.385,131.572,33.7556,32.9933,204.679,204.499,203.071
6,564.673,99.4833,30.0766,24.3565,203.743,203.542,202.041
7,699.733,113.707,33.4058,27.1909,201.481,201.415,199.472
8,588.995,101.431,32.4589,23.485,199.019,199.014,197.022
9,1830.46,210.397,60.17,40.6642,192.742,192.733,191.006
10,655.275,106.003,34.8768,24.419,186.316,186.274,184.313
11,1015.75,128.185,37.4538,35.2307,183.821,183.79,182.067
12,207.526,74.5913,22.2326,12.5057,198.827,198.826,196.731
13,405.626,94.5727,27.4638,19.0484,198.148,198.237,195.808
14,368.845,104.225,24.6827,19.8915,203.174,203.22,200.932
15,318.315,88.392,26.4378,15.7916,200.059,200.087,197.801
16,241.648,78.74,20.7965,15.4908,199.412,199.708,196.588
17,292.078,83.3967,24.9369,15.6733,199.681,199.622,197.375
18,239.29,79.1633,21.1771,15.2975,202.615,202.584,200.522
19,476.286,98.7213,30.1901,20.2905,204.312,204.289,202.12
20,195.104,71.12,20.5868,12.6692,200.359,200.216,197.877
21,126.243,64.516,19.0293,8.87967,200.528,200.409,197.807
22,200.982,74.93,19.119,14.0386,188.299,188.315,186.182
23,280.085,87.7993,23.0566,16.5486,200.612,200.635,198.59
24,977.955,158.157,40.9468,30.9453,194.909,194.916,193.398
25,460.845,106.003,27.7788,21.9229,201.277,201.75,198.218
26,771.912,117.094,32.3755,30.9499,179.739,179.753,177.718
27,341.849,96.012,23.7301,19.1026,194.356,194.334,193.141
28,438.694,107.357,30.0996,18.856,185.82,186.075,183.275
29,133.691,59.944,16.9036,10.4167,203.607,203.637,201.584
30,140.229,62.3147,17.809,10.502,191.922,191.781,189.861
31,495.375,111.421,30.2928,21.2441,198.507,198.595,196.163
32,160.566,64.9393,17.3039,12.0296,194.708,194.754,191.712
33,140.523,55.88,15.2557,12.0135,199.269,199.262,197.217
34,314.207,87.376,25.4551,15.9921,200.783,200.818,198.259
35,732.995,132.842,32.6557,29.2704,201.38,202.29,198.523
36,1041.39,136.483,44.9391,29.9683,185.639,185.654,185.49
37,314.143,85.5133,25.552,16.2409,190.718,190.732,188.72
38,207.419,74.5067,22.158,12.334,191.699,191.745,189.847
39,188.709,70.1887,23.3375,10.6726,200.455,201.458,198.718
40,300.867,89.662,23.5227,16.7836,196.073,196.013,193.724
41,180.114,67.3947,20.6128,11.5233,201.226,202.22,198.208
42,196.616,73.2367,21.2221,12.4909,193.165,193.156,192.226
43,81.0751,51.054,12.9532,8.62986,197.22,197.009,194.306
44,126.143,55.2027,14.2633,11.7407,202.747,203.664,198.656
45,81.3618,43.6033,14.9518,7.1645,192.766,192.739,190.72
46,310.931,94.3187,24.4026,17.5301,186.815,186.815,186.66
47,440.766,115.401,27.3765,21.1633,188.695,188.724,186.464
48,334.781,94.996,24.8319,17.8502,196.435,196.478,194.428
49,150.537,63.754,18.9905,10.7631,200.499,201.74,198.675
50,374.781,99.3987,26.2083,18.5367,191.419,191.554,189.454
51,1892.34,205.317,57.8193,42.4924,180.876,181.066,178.945
52,152.903,66.7173,17.9759,11.4608,202.041,203.413,199.461
53,77.6629,47.4133,11.4993,9.23886,198.933,199.072,196.558
54,181.878,64.77,17.2126,13.7534,200.057,200.829,197.412
55,87.0823,46.0587,11.0382,10.4198,198.475,198.539,196.478
56,487.074,119.295,29.3457,21.4915,191.456,191.94,189.511
57,911.367,133.943,35.6009,33.1029,190.055,190.088,189.663
58,337.49,102.193,25.1112,18.4734,185.703,185.69,185.487
59,306.057,89.3233,22.5877,18.2986,193.494,193.912,191.715
