"number","area_mm2","perimeter_mm","majellipse_mm","minellipse_mm","grain  ch1","grain  ch2","grain  ch3"
60,100.953,53.4247,14.2269,9.43107,196.271,196.566,192.71
61,243.146,79.248,20.4137,15.7638,200.905,202.831,199.586
62,168.208,68.9187,17.7954,12.8889,199.961,201.809,197.547
63,217.161,72.7287,22.1618,13.1677,200.538,202.559,199.404
64,142.96,59.5207,17.7391,10.476,195.835,197.509,192.946
65,511.003,114.639,28.9953,22.925,197.288,199.215,194.978
66,16.8458,24.2147,10.1805,2.16607,193.104,193.328,190.659
67,729.726,147.405,34.1081,27.9258,187.646,188.717,185.991
68,253.67,79.0787,25.531,13.0615,197.615,199.338,196.09
69,239.87,77.8087,22.7075,14.2351,198.882,200.84,197.747
70,713.067,145.288,34.0814,27.6231,196.043,197.54,194.618
71,306.938,89.154,23.836,17.3743,199.612,201.626,198.506
72,191.369,69.1727,19.6409,12.6048,192.616,194.528,190.852
73,220.946,77.0467,22.372,13.0966,201.308,203.351,200.128
74,233.562,84.9207,23.5574,13.0786,186.12,186.834,183.877
75,138.408,57.912,16.382,11.2012,191.274,193.048,189.872
76,125.878,63.1613,22.6337,7.50481,186.588,186.727,184.147
77,591.956,99.06,28.0462,27.3372,175.08,175.149,175.021
78,396.494,102.531,25.9634,20.2431,183.437,183.421,182.798
79,305.942,84.836,22.6178,17.6684,187.921,189.635,186.414
80,13.6129,25.2307,11.8027,1.50033,184.11,184.11,183.928
81,132.774,63.9233,16.9914,10.3302,197.413,199.453,195.334
82,140.537,59.8593,21.8721,8.40855,194.696,196.691,193.096
83,340.967,93.6413,26.5204,16.7604,193.963,195.973,192.612
84,337.892,91.6093,24.7797,17.7243,198.023,200.538,196.812
85,657.232,145.288,30.0583,28.0255,199.725,203.756,199.785
86,29.9784,46.99,25.2729,1.54498,187.678,187.824,186.605
87,521.081,119.465,31.8902,22.4659,189.123,189.915,188.759
88,105.405,56.642,13.3669,10.5417,188.844,190.243,185.831
89,143.871,57.15,16.9443,11.1012,185.488,187.06,184.155
90,75.7776,44.5347,12.0223,8.51231,186.201,187.071,183.805
91,175.247,74.8453,16.2021,14.4654,202.223,204.059,200.087
92,623.182,120.989,31.7304,25.3097,201.104,203.199,200.052
93,688.615,136.313,37.0123,24.5603,182.855,183.451,181.898
94,335.189,92.7947,24.1891,17.8085,190.075,192.16,188.951
95,3.27598,12.1073,2.36368,2.01076,137.152,123.772,85.587
96,507.949,108.543,27.2351,24.2297,194.881,196.703,193.645
97,344.351,84.4127,23.6291,18.8841,184.587,186.309,182.975
98,1698.47,187.198,52.93,41.7979,173.973,175.105,174.004
99,210.989,69.85,19.3394,14.2712,182.729,184.383,181.325
100,711.052,132.249,33.8481,27.6019,180.026,181.536,179.457
101,162.329,65.532,21.8831,9.7527,199.141,202.13,198.656
102,234.652,78.5707,19.6535,15.9121,196.522,200.141,196.335
103,373.748,100.753,24.9471,19.1857,200.309,204.735,200.667
104,938.378,135.128,37.2252,32.9244,173.394,174.414,173.571
105,2.68817,11.0067,2.36684,1.59226,129.867,114.12,77.7349
106,140.043,59.2667,16.2674,11.5097,185.632,187.443,183.826
107,382.551,100.161,26.1238,19.4514,192.328,196.763,193.007
108,146.652,63.754,16.3511,11.9599,199.232,203.01,199.275
109,413.82,116.163,25.9305,21.3285,188.502,191.303,187.759
110,492.114,129.54,26.2186,24.4857,197.462,201.715,197.821
111,257.519,82.804,21.9695,15.582,197.948,199.947,196.018
112,716.214,134.535,39.5138,23.4323,183.842,184.556,182.463
113,149.139,57.15,15.4657,12.463,183.978,185.555,181.971
114,476.049,114.639,29.4096,21.6361,196.356,198.286,194.898
115,552.343,113.369,29.1477,24.7742,193.013,194.884,191.802
116,65.6343,39.37,11.8519,7.30227,183.229,183.725,180.152
117,58.4587,39.2853,9.48709,8.26127,195.767,197.873,194.702
118,184.967,65.1087,18.111,13.1484,183.408,183.558,180.974
119,135.813,65.3627,14.4262,12.6299,182.855,184.321,180.69
120,536.164,121.751,33.2178,21.3699,192.317,196.313,192.561
121,171.118,68.072,16.9945,13.4118,197.314,200.598,196.811
122,144.165,61.3833,18.5331,10.461,200.283,202.313,199.08
123,2.70967,11.43,2.21565,1.69613,130.74,115.636,66.026
124,759.475,148.082,35.2266,27.8906,194.845,199.641,195.613
125,437.784,102.108,24.2303,23.4913,175.05,176.338,173.492
126,216.767,73.5753,21.6368,13.3116,179.06,180.958,177.809
127,418.917,101.939,24.9042,21.7746,181.019,182.895,179.576
128,1143.74,141.224,40.787,36.2964,166.574,168.08,166.497
129,9122.11,446.363,122.192,98.0641,169.805,172.699,169.853
130,486.529,116.078,32.497,19.5117,185.703,189.928,186.034
131,929.84,180.848,42.9258,28.2976,190.969,195.416,191.348
132,497.705,101.769,28.9086,22.4247,181.098,182.202,181.09
133,142.939,56.5573,15.6857,11.8914,192.61,194.579,190.713
134,150.724,63.0767,19.197,10.62,189.408,191.286,188.248
135,414.967,96.774,26.5101,20.4624,192.726,194.684,191.478
136,4632.66,295.656,105.826,56.8558,159.761,162.366,160.014
137,208.917,69.342,20.7025,13.1966,186.831,191.032,186.665
138,5253.77,322.58,96.8309,70.4738,175.074,177.201,175.49
139,318.164,93.3027,25.0072,17.1906,190.013,194.359,190.236
140,286.078,80.4333,22.5401,16.7641,190.863,192.841,189.645
141,216.774,74.5067,20.0075,14.1748,185.252,188.121,184.333
142,2526.1,217.339,85.2041,38.6068,155.645,157.557,156.376
143,172.028,68.2413,18.6258,12.438,188.335,192.792,188.811
144,2884.39,233.003,75.2649,49.5673,180.866,183.744,180.909
145,30.0573,32.512,13.1672,2.97112,189.131,194.131,190.131
146,1391.81,175.175,71.8591,25.1511,180.531,183.321,180.767
147,1264.34,161.036,66.9911,24.5475,176.977,180.637,177.733
