"number","area_mm2","perimeter_mm","majellipse_mm","minellipse_mm","grain  ch1","grain  ch2","grain  ch3"
183,149.096,57.658,16.9437,11.559,170.94,172.897,169.902
184,936.314,149.437,39.4672,31.2683,173.717,177.782,173.848
185,51.0035,33.8667,9.22694,7.31707,187.127,189.264,182.98
186,259.541,66.1247,19.0728,17.612,180.066,181.972,180.584
187,170.193,63.754,18.4765,12.0885,191.141,192.768,189.552
188,114.165,52.6627,12.9003,11.5646,199.007,200.742,196.913
189,22.1218,34.544,10.3514,2.80277,196.898,198.095,193.728
190,2.79569,11.8533,2.29837,1.79767,148.105,135.895,93.2763
191,177.254,67.7333,16.9963,13.6837,199.298,201.088,199.245
192,477.153,121.751,30.301,20.7691,198.176,200.141,197.716
193,236.731,76.5387,19.7564,15.8742,194.954,196.808,194.424
194,2.22222,10.0753,2.54904,1.26792,125.804,116.761,85.6087
195,254.953,85.344,21.4791,15.5002,188.816,193.313,188.898
196,190.365,66.04,18.9809,13.2045,166.962,168.813,165.686
197,140.157,58.0813,16.0876,11.5395,165.741,167.616,164.506
198,130.208,60.1133,15.0504,11.6816,192.344,196.835,192.43
199,4294.21,280.331,99.0254,56.293,156.971,159.635,157.179
200,467.074,116.163,26.3376,23.459,196.106,199.757,196.008
201,395.677,106.511,25.2415,20.3601,170.585,172.494,169.162
202,97.921,50.4613,12.3894,10.3807,195.364,197.259,193.205
203,351.075,106.003,31.4426,14.4541,185.574,190.066,185.913
204,93.3403,49.276,14.6369,8.40121,197.498,200.197,196.294
205,279.204,93.5567,21.6926,16.7606,187.592,191.992,186.705
206,27.2974,33.274,8.64959,4.16824,190.186,194.327,188.644
207,369.003,81.9573,24.0205,20.0164,177.963,179.717,178.515
208,244.25,76.8773,20.3366,15.9061,196.608,199.382,195.957
209,326.515,97.1973,25.9813,16.8932,179.973,184.412,180.375
210,1.95699,6.096,1.73678,1.45315,145.849,137.674,89.4302
211,1878.84,200.66,84.9272,28.744,157.533,160.017,156.915
212,2645.1,229.955,78.4337,44.0479,159.868,163.031,159.895
213,480.408,109.305,26.3159,23.6279,187.755,189.579,188.072
214,143.175,51.9007,16.2456,11.4357,192.378,196.013,191.574
215,3028.29,250.444,70.3588,56.4438,185.303,188.31,186.126
216,133.24,64.4313,16.2141,11.0004,191.861,194.877,190.651
217,2541.6,220.557,71.7072,45.7827,188.293,191.749,188.424
218,118.559,53.594,15.3191,10.1297,187.3,191.198,185.505
219,2261.88,198.459,69.7115,42.087,164.442,167.887,165.279
220,1.78494,9.73667,2.52414,1.04315,144.75,128.75,79.75
221,859.253,144.949,61.7011,18.0556,182.685,185.134,182.339
222,1487.09,164.677,61.8953,31.2303,170.127,173.903,170.985
223,1081.8,149.521,61.3019,22.8942,177.577,180.012,177.244
224,1662.5,177.207,59.0742,36.6724,176.822,179.233,178.08
